,source,sink,reactance,limit
466,n_9886,n_23792,266.9846988399248,5315.41
467,n_9887,n_15226,91.72819029269915,1305.24
468,n_9887,n_18698,350.44878471370436,5410.38
469,n_9994,n_10012,97.81338184877073,4979.06
470,n_9994,n_29016,76.47655970502073,4899.93
471,n_9995,n_23846,135.4418927191856,5085.69
472,n_10009,n_29015,43.90734829429392,4726.08
473,n_10013,n_23846,68.2195249738037,4863.62
474,n_10013,n_10012,60.460109900760166,4825.54
475,n_10014,n_14322,110375.27593818985,3683.7299999999996
476,n_10014,n_18690,288.4465336947376,1406.31
477,n_10014,n_4099,14.119230007226786,4389.6
478,n_10014,n_18691,57.1056307979347,1265.58
479,n_10014,n_29255,22.703019710489276,1191.82
480,n_10014,n_14521,52.70995865588973,1259.0
481,n_10015,n_23847,47.1116284596071,4747.81
482,n_10016,n_23850,13.671269058381363,4380.4
483,n_10017,n_29021,1020.5737461486099,16319.990000000002
484,n_10017,n_28707,12.125045840251431,4346.3
485,n_10018,n_10014,13.790152926176678,4382.87
486,n_10019,n_10018,1738.0996661110544,6004.84
487,n_10022,n_28665,24.522348785878894,4550.22
488,n_10023,n_10024,23.75551733767926,4540.82
489,n_10024,n_11731,38.012200623985485,1232.49
490,n_10024,n_10022,2145.5636181068403,6087.73
491,n_10029,n_30949,25.708068989042783,4564.23
492,n_10029,n_10037,39.626447816663955,4694.63
493,n_10029,n_23786,21.284866500359488,4508.48
494,n_10038,n_10037,305.5847134302954,5362.34
495,n_10038,n_10039,115.26022300547947,5032.55
496,n_10048,n_22426,20.50525607127824,4497.54
497,n_10051,n_23858,58.96812271738082,4817.7
498,n_10052,n_23858,133.1949703980838,5080.15
499,n_10058,n_18692,42.0245777380935,4712.62
500,n_10123,n_10126,83.33506253588095,4927.4
501,n_10124,n_10125,58.17459183979182,4813.45
502,n_10124,n_27939,59.656442129164674,4821.34
503,n_10124,n_17329,99.60660371861333,4984.95
504,n_10125,n_23900,23.658449401094632,4539.61
505,n_10127,n_23901,275.8182423978976,5326.68
506,n_10128,n_23903,50.68322764782233,4770.45
507,n_10707,n_30421,92.16291712590679,4959.81
508,n_10835,n_24341,9348.590232592926,1763.71
509,n_10836,n_30087,1893.630961623675,1589.58
510,n_10875,n_23849,452.2770794117142,1448.1
511,n_11709,n_28665,363.57541517585605,1427.66
